,titel,pdf,urn
0,1922:1 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5798048.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1559334
1,1922:1,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892074.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1215954
2,1922:2 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5791933.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1470245
3,1922:2,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1895213.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8231676
4,1922:3 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5791234.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8217751
5,1922:3,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2079091.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483846
6,1922:4 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5790584.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2503680
7,1922:4,https://weburn.kb.se/sou/196/urn-nbn-se-kb-digark-1958131.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483847
8,1922:5 första serien,https://weburn.kb.se/sou/579/urn-nbn-se-kb-digark-5789094.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2503681
9,1922:5,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892069.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220802
10,1922:6 första serien,https://weburn.kb.se/sou/581/urn-nbn-se-kb-digark-5801028.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2503682
11,1922:6,https://weburn.kb.se/sou/191/urn-nbn-se-kb-digark-1900789.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483849
12,1922:7 första serien,https://weburn.kb.se/sou/579/urn-nbn-se-kb-digark-5788183.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2040295
13,1922:7,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892053.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483850
14,1922:8 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5793342.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2503710
15,1922:8,https://weburn.kb.se/sou/192/urn-nbn-se-kb-digark-1915883.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220803
16,1922:9 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5790996.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483842
17,1922:9,https://weburn.kb.se/sou/192/urn-nbn-se-kb-digark-1914864.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2506739
18,1922:10 första serien,https://weburn.kb.se/sou/579/urn-nbn-se-kb-digark-5789382.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1533561
19,1922:10,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892065.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220804
20,1922:11 första serien,https://weburn.kb.se/sou/579/urn-nbn-se-kb-digark-5787693.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1470250
21,1922:11,https://weburn.kb.se/sou/199/urn-nbn-se-kb-digark-1981052.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220806
22,1922:12 första serien,https://weburn.kb.se/sou/585/urn-nbn-se-kb-digark-5840194.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2326722
23,1922:12,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1895292.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220807
24,1922:13 första serien,https://weburn.kb.se/sou/585/urn-nbn-se-kb-digark-5847285.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483822
25,1922:13,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892080.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2506797
26,1922:14 första serien,https://weburn.kb.se/sou/585/urn-nbn-se-kb-digark-5847029.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1699123
27,1922:14,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892056.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483856
28,1922:15 första serien,https://weburn.kb.se/sou/584/urn-nbn-se-kb-digark-5838553.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2505680
29,1922:15,https://weburn.kb.se/sou/192/urn-nbn-se-kb-digark-1915872.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483857
30,1922:16 första serien,https://weburn.kb.se/sou/584/urn-nbn-se-kb-digark-5839518.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2505681
31,1922:16,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892082.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8231680
32,1922:17 första serien,https://weburn.kb.se/sou/584/urn-nbn-se-kb-digark-5838285.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1836510
33,1922:17,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892055.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483858
