titel,pdf,urn,sou-nr,full_titel
1922:1 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5798048.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1559334,1922:1 första serien,"Skolkommissionens betänkande. 4",
1922:1,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892074.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1215954,1922:1,"Några iakttagelser från 1921 års riksdagsmannaval.",
1922:2 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5791933.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1470245,1922:2 första serien,"Betänkande och förslag till förändrade grunder för förvaltningen av kronans jordbruksdomäner samt till nya reglementariska bestämmelser för samma förvaltning",
1922:2,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1895213.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8231676,1922:2,"Byggnadsarbetarsakkunnigas betänkande. 2",
1922:3 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5791234.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8217751,1922:3 första serien,"Städernas särskilda skyldigheter och rättigheter i förhållande till staten förberedande undersökning",
1922:3,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2079091.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483846,1922:3,"Järnvägsstyrelsens skrivelser till Kungl. Maj:t den 28 april 1922 med förslag till taxeändring samt den 5 maj 1922 med yttrande över Tull- och traktatkommitténs utlåtande m. m.",
1922:4 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5790584.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2503680,1922:4 första serien,"Betänkande med förslag till livsmedelslag m. m.",
1922:4,https://weburn.kb.se/sou/196/urn-nbn-se-kb-digark-1958131.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483847,1922:4,"Klimatets inverkan på byggnader vid västkusten.",
1922:5 första serien,https://weburn.kb.se/sou/579/urn-nbn-se-kb-digark-5789094.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2503681,1922:5 första serien,"Betänkande med förslag till livsmedelslag m. m. Bihang 1",
1922:5,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892069.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220802,1922:5,"Betänkande med förslag till förändrad kyrklig indelning och organisation inom de till Kristianstads och Malmöhus län hörande delarne av Lunds stift",
1922:6 första serien,https://weburn.kb.se/sou/581/urn-nbn-se-kb-digark-5801028.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2503682,1922:6 första serien,"Betänkande med förslag till livsmedelslag m. m. Bihang 2",
1922:6,https://weburn.kb.se/sou/191/urn-nbn-se-kb-digark-1900789.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483849,1922:6,"Tillägg till Betänkande och förslag beträffande förrådsverksamheten vid marinen",
1922:7 första serien,https://weburn.kb.se/sou/579/urn-nbn-se-kb-digark-5788183.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2040295,1922:7 första serien,"Förslag till om- och tillbyggnad av Kungl. biblioteket handlingar 1918-1921",
1922:7,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892053.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483850,1922:7,"Betänkande rörande fiskerinäringens främjande",
1922:8 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5793342.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2503710,1922:8 första serien,"Jordkommissionens betänkanden. D. 1",
1922:8,https://weburn.kb.se/sou/192/urn-nbn-se-kb-digark-1915883.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220803,1922:8,"Utredning ang. statsunderstöd för idrottens främjande",
1922:9 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5790996.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483842,1922:9 första serien,"Utredning och förslag rörande beredande av understöd åt änkor efter manskap vid armén och marinen.",
1922:9,https://weburn.kb.se/sou/192/urn-nbn-se-kb-digark-1914864.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2506739,1922:9,"Patentlagstiftningskommitténs betänkanden. 7",
1922:10 första serien,https://weburn.kb.se/sou/579/urn-nbn-se-kb-digark-5789382.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1533561,1922:10 första serien,"1921 års pensionskommittés betänkande. 1",
1922:10,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892065.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220804,1922:10,"Om lappskattelandsinstitutet och dess historiska utveckling.",
1922:11 första serien,https://weburn.kb.se/sou/579/urn-nbn-se-kb-digark-5787693.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1470250,1922:11 första serien,"Betänkande med förslag till förordning angående tillverkning och beskattning av maltdrycker m. m.",
